Zeit;Einstrahlung auf die Horizontale (kWh/m²);Diffusstrahlung auf die Horizontale (kWh/m²);Außentemperatur (°C);Freifläche 01-Fläche Süd: Sonnenhöhe (rad);Freifläche 01-Fläche Süd: Einstrahlung auf die geneigte Fläche (kWh/m²);Freifläche 01-Fläche Süd: Modultemperatur (°C);Eingespeiste Energie kWh
21.06. 20:00;0,012;0,01188;13,7;2,3212;0,011435;13,96;1,1194
21.06. 21:00;0;0;12,8;-4,187;0;12,86;0
21.06. 22:00;0;0;12,5;-9,1986;0;12,52;0
21.06. 23:00;0;0;11,8;-12,364;0;11,84;0
22.06. 00:00;0;0;9,5;-13,418;0;9,62;0
22.06. 01:00;0;0;8,9;-12,278;0;8,94;0
22.06. 02:00;0;0;8,2;-9,0363;0;8,24;0
22.06. 03:00;0;0;9,4;-3,9608;0;9,34;0
22.06. 04:00;0,003;0,00297;10,5;2,5972;0,0028587;10,49;0
22.06. 05:00;0,088;0,068735;11,9;10,271;0,058164;12,92;45,456
22.06. 06:00;0,279;0,065235;13,8;18,714;0,17363;16,83;149
22.06. 07:00;0,409;0,11934;14,3;27,594;0,3577;21,05;328,12
22.06. 08:00;0,438;0,26161;15,7;36,562;0,42885;24,02;393,2
22.06. 09:00;0,492;0,33523;16,2;45,177;0,49587;25,94;453,28
22.06. 10:00;0,45;0,37374;16;52,772;0,44599;24,9;405,07
22.06. 11:00;0,415;0,37101;18,1;58,278;0,40603;26,09;364,76
22.06. 12:00;0,414;0,37357;18,3;60,309;0,40443;26,31;362,8
22.06. 13:00;0,515;0,41099;18,5;58,136;0,51775;28,66;466,98
22.06. 14:00;0,62;0,35805;18,4;52,534;0,65089;31,21;588,27
22.06. 15:00;0,659;0,19952;18,2;44,889;0,69719;32,01;631,68
22.06. 16:00;0,565;0,13021;18,3;36,252;0,56083;29,51;511,5
22.06. 17:00;0,412;0,10827;18;27,281;0,35717;25,19;322,68
22.06. 18:00;0,26;0,080843;16,3;18,41;0,1637;19,65;138,53
22.06. 19:00;0,114;0,058019;14,9;9,9885;0,03513;15,8;14,746
22.06. 20:00;0,014;0,01386;13,9;2,3475;0,013341;14,25;1,6247
22.06. 21:00;0;0;13,5;-4,165;0;13,54;0
22.06. 22:00;0;0;12,9;-9,1822;0;12,93;0
22.06. 23:00;0;0;12,4;-12,354;0;12,43;0
23.06. 00:00;0;0;12,1;-13,423;0;12,12;0
23.06. 01:00;0;0;11,9;-12,289;0;11,91;0
23.06. 02:00;0;0;11,6;-9,0546;0;11,62;0
23.06. 03:00;0;0;10,5;-3,9844;0;10,56;0
23.06. 04:00;0,029;0,02871;11,1;2,5694;0,027634;11,59;8,9114
23.06. 05:00;0,133;0,04328;12,9;10,24;0,017675;13,17;3,1778
23.06. 06:00;0,276;0,06792;15,5;18,681;0,17219;18,43;146,86
23.06. 07:00;0,428;0,096032;17,1;27,561;0,37237;24,05;338,53
23.06. 08:00;0,574;0,1259;17,7;36,529;0,57163;28,74;522,92
23.06. 09:00;0,702;0,15368;19,1;45,146;0,74868;33,72;674,46
23.06. 10:00;0,777;0,2044;20;52,745;0,85649;36,91;762,44
23.06. 11:00;0,808;0,25771;20,2;58,26;0,90089;38,12;797,94
23.06. 12:00;0,826;0,26644;20,5;60,305;0,92544;38,94;817,12
23.06. 13:00;0,864;0,18947;20,5;58,146;0,97426;39,91;857,84
23.06. 14:00;0,816;0,15847;20,6;52,553;0,90443;38,71;800,17
23.06. 15:00;0,705;0,14634;20,6;44,913;0,75137;35,7;672,19
23.06. 16:00;0,561;0,13529;20,1;36,279;0,55689;31,33;504,63
23.06. 17:00;0,412;0,10885;19;27,308;0,35745;26,24;321,75
23.06. 18:00;0,262;0,078985;18,4;18,436;0,16455;21,71;138,23
23.06. 19:00;0,121;0,051988;17,7;10,012;0,027219;18,42;8,1836
23.06. 20:00;0,017;0,01683;16,6;2,3677;0,016199;17;2,5173
23.06. 21:00;0;0;16;-4,1494;0;16,05;0
23.06. 22:00;0;0;15,5;-9,1724;0;15,53;0
23.06. 23:00;0;0;15;-12,351;0;15,03;0
24.06. 00:00;0;0;14,9;-13,434;0;14,91;0
24.06. 01:00;0;0;14,8;-12,308;0;14,81;0
24.06. 02:00;0;0;13,9;-9,0793;0;13,95;0
24.06. 03:00;0;0;14,2;-4,0142;0;14,19;0
24.06. 04:00;0,029;0,02871;14,7;2,5358;0,027634;15,19;8,6751
24.06. 05:00;0,132;0,043653;15,8;10,204;0,018092;16,11;3,2792
24.06. 06:00;0,273;0,070555;16,9;18,643;0,17079;19,88;144,84
24.06. 07:00;0,431;0,09191;18;27,522;0,37452;25,02;339,37
24.06. 08:00;0,574;0,12506;19,6;36,491;0,57154;30,59;519,46
24.06. 09:00;0,706;0,14869;20,6;45,109;0,75331;35,32;674,81
24.06. 10:00;0,807;0,16968;21,6;52,713;0,89397;39,22;789,44
24.06. 11:00;0,848;0,20881;20,5;58,236;0,95395;39,54;841,07
24.06. 12:00;0,871;0,21177;21,6;60,294;0,98573;41,21;863,66
24.06. 13:00;0,766;0,30506;22,6;58,149;0,84381;39,53;742,69
24.06. 14:00;0,763;0,21816;23,4;52,567;0,83856;40,09;737,81
24.06. 15:00;0,706;0,14557;23,8;44,932;0,75271;38,83;665,94
24.06. 16:00;0,562;0,13452;24;36,3;0,55815;35,22;498,87
24.06. 17:00;0,413;0,1081;23,2;27,329;0,35852;30,44;317,91
24.06. 18:00;0,262;0,079442;22,3;18,456;0,16499;25,64;136,67
24.06. 19:00;0,12;0,053342;21;10,03;0,028767;21,78;9,0301
24.06. 20:00;0,015;0,01485;19,4;2,382;0,014293;19,79;1,8286
24.06. 21:00;0;0;18,5;-4,1401;0;18,57;0
24.06. 22:00;0;0;17,1;-9,1692;0;17,17;0
24.06. 23:00;0;0;16,4;-12,355;0;16,44;0
25.06. 00:00;0;0;15,2;-13,452;0;15,26;0
25.06. 01:00;0;0;14,7;-12,333;0;14,73;0
25.06. 02:00;0;0;14,5;-9,1106;0;14,51;0
25.06. 03:00;0;0;13,8;-4,0501;0;13,84;0
25.06. 04:00;0,018;0,01782;14,3;2,4966;0,017152;14,6;2,9309
25.06. 05:00;0,085;0,067543;15,6;10,163;0,057828;16,64;43,682
25.06. 06:00;0,222;0,12251;16,1;18,6;0,16151;19,06;138,92
25.06. 07:00;0,397;0,13108;17,8;27,479;0,34775;24,3;314,88
25.06. 08:00;0,534;0,17152;19,4;36,448;0,52988;29,59;482,48
25.06. 09:00;0,677;0,18094;20,7;45,067;0,71943;34,73;645,81
25.06. 10:00;0,66;0,33138;21,8;52,674;0,70334;35,75;626,93
25.06. 11:00;0,596;0,41441;23,1;58,206;0,6162;35,38;546,4
25.06. 12:00;0,512;0,41748;23,2;60,276;0,51324;33,49;454,38
25.06. 13:00;0,612;0,41081;22,9;58,145;0,6366;35,46;564,89
25.06. 14:00;0,621;0,35773;22,9;52,573;0,65237;35,86;580,08
25.06. 15:00;0,291;0,27116;21,3;44,945;0,2801;27,31;246,56
25.06. 16:00;0,175;0,17017;20,2;36,316;0,16693;23,7;144,35
25.06. 17:00;0,249;0,20148;20,8;27,345;0,23118;25,27;203,57
25.06. 18:00;0,203;0,13035;20,8;18,471;0,15572;23,87;131,82
25.06. 19:00;0,053;0,050317;19,2;10,042;0,047733;20,33;27,974
25.06. 20:00;0,003;0,00297;18,2;2,3902;0,0028587;18,36;0
25.06. 21:00;0;0;17,8;-4,1371;0;17,83;0
25.06. 22:00;0;0;16,6;-9,1727;0;16,66;0
25.06. 23:00;0;0;16,8;-12,366;0;16,79;0
26.06. 00:00;0;0;17,1;-13,477;0;17,08;0
26.06. 01:00;0;0;17,1;-12,365;0;17,1;0
26.06. 02:00;0;0;17,1;-9,1482;0;17,1;0
26.06. 03:00;0;0;17;-4,092;0;17,01;0
26.06. 04:00;0,003;0,00297;17,1;2,4516;0,0028587;17,1;0
26.06. 05:00;0,017;0,016548;17,3;10,116;0,0159;17,59;2,3985
26.06. 06:00;0,054;0,052927;17,7;18,552;0,051228;18,66;33,036
26.06. 07:00;0,092;0,090252;18,2;27,43;0,087577;19,87;71,626
26.06. 08:00;0,13;0,12754;17,9;36,399;0,12394;20,33;106,3
26.06. 09:00;0,158;0,15501;18,1;45,02;0,15077;21,05;130,7
26.06. 10:00;0,265;0,25606;19,1;52,63;0,25388;23,97;224,79
26.06. 11:00;0,235;0,22989;20,2;58,168;0,22458;24,61;197,21
26.06. 12:00;0,185;0,18145;20,8;60,251;0,17668;24,31;152,98
26.06. 13:00;0,335;0,31675;21,2;58,135;0,32301;27,43;285,61
26.06. 14:00;0,557;0,38225;23,2;52,574;0,57158;34,2;509,04
26.06. 15:00;0,47;0,33644;23,4;44,952;0,47075;32,81;418,53
26.06. 16:00;0,323;0,26684;22,9;36,326;0,31123;29,25;274,47
26.06. 17:00;0,095;0,093202;22,6;27,356;0,090431;24,64;72,933
26.06. 18:00;0,074;0,07244;21,9;18,48;0,070139;23,36;54,742
26.06. 19:00;0,072;0,06255;20,9;10,049;0,056669;22,09;40,136
26.06. 20:00;0,005;0,00495;19,6;2,3923;0,0047645;19,82;0,086026
26.06. 21:00;0;0;18,5;-4,1406;0;18,57;0
26.06. 22:00;0;0;18,2;-9,1828;0;18,22;0
26.06. 23:00;0;0;18;-12,383;0;18,01;0
27.06. 00:00;0;0;17,3;-13,509;0;17,34;0
27.06. 01:00;0;0;16,9;-12,404;0;16,92;0
27.06. 02:00;0;0;16,8;-9,1922;0;16,81;0
27.06. 03:00;0;0;17;-4,14;0;16,99;0
27.06. 04:00;0,01;0,0099;16,7;2,401;0,009529;16,89;0,6792
27.06. 05:00;0,02;0,019513;16,9;10,064;0,018747;16,9;3,5391
27.06. 06:00;0,081;0,079014;17,2;18,499;0,076639;18,62;61,706
27.06. 07:00;0,25;0,20189;18;27,377;0,23219;22,38;206,65
27.06. 08:00;0,424;0,26518;18,2;36,346;0,41425;26,19;376,11
27.06. 09:00;0,55;0,30851;18,9;44,968;0,56511;29,92;512,97
27.06. 10:00;0,649;0,33882;20,9;52,58;0,68926;34,38;617,06
27.06. 11:00;0,521;0,41208;21,2;58,125;0,525;31,77;468,65
27.06. 12:00;0,37;0,34449;22,2;60,219;0,35844;29,43;316,13
27.06. 13:00;0,345;0,32436;22,8;58,117;0,33316;29,4;292,95
27.06. 14:00;0,277;0,26634;22;52,568;0,26568;27,37;232,9
27.06. 15:00;0,319;0,28996;21,8;44,953;0,30838;27,88;272,31
27.06. 16:00;0,281;0,24871;21,7;36,33;0,26967;27,08;237,63
27.06. 17:00;0,195;0,17712;21,3;27,361;0,18378;25,04;159,35
27.06. 18:00;0,145;0,12519;20,8;18,484;0,12856;23,41;108,77
27.06. 19:00;0,061;0,056194;20,5;10,049;0,052564;21,64;34,192
27.06. 20:00;0,005;0,00495;19,7;2,3883;0,0047645;19,89;0,08589
27.06. 21:00;0;0;19;-4,1504;0;19,05;0
27.06. 22:00;0;0;18,5;-9,1997;0;18,53;0
27.06. 23:00;0;0;17,6;-12,408;0;17,65;0
28.06. 00:00;0;0;17,2;-13,548;0;17,22;0
28.06. 01:00;0;0;17;-12,449;0;17,01;0
28.06. 02:00;0;0;15,8;-9,2426;0;15,86;0
28.06. 03:00;0;0;14,7;-4,1939;0;14,76;0
28.06. 04:00;0,008;0,00792;15,2;2,3449;0,0076232;15,32;0,37858
28.06. 05:00;0,075;0,063722;15,9;10,006;0,056965;16,94;42,182
28.06. 06:00;0,206;0,1288;17;18,441;0,15651;19,85;134,38
28.06. 07:00;0,344;0,18137;16,9;27,318;0,30735;22,76;277,87
28.06. 08:00;0,29;0,25321;16,3;36,288;0,27856;21,86;250,55
28.06. 09:00;0,435;0,33537;17;44,91;0,43154;25,37;391,96
28.06. 10:00;0,616;0,35995;18,6;52,525;0,64645;31,15;584,27
28.06. 11:00;0,607;0,4114;19,2;58,075;0,63064;31,72;566,89
28.06. 12:00;0,705;0,38479;20;60,18;0,75887;34,95;677,03
28.06. 13:00;0,713;0,35587;20;58,093;0,77177;35,36;688,41
28.06. 14:00;0,673;0,31827;20;52,557;0,72125;34,42;646,34
28.06. 15:00;0,637;0,22685;21,2;44,949;0,67186;34,55;603,02
28.06. 16:00;0,48;0,22782;21,2;36,329;0,47323;30,76;426,4
28.06. 17:00;0,291;0,20471;20,9;27,36;0,26629;26,37;235,53
28.06. 18:00;0,231;0,11352;20,8;18,482;0,16173;24;136,1
28.06. 19:00;0,094;0,067328;20,2;10,044;0,053556;21,4;35,676
28.06. 20:00;0,012;0,01188;19,1;2,3783;0,011435;19,43;1,0561
28.06. 21:00;0;0;19;-4,1666;0;19,02;0
28.06. 22:00;0;0;18,9;-9,2231;0;18,91;0
28.06. 23:00;0;0;17,5;-12,439;0;17,57;0
29.06. 00:00;0;0;17,3;-13,593;0;17,31;0
29.06. 01:00;0;0;16,6;-12,501;0;16,64;0
29.06. 02:00;0;0;15,8;-9,2994;0;15,84;0
29.06. 03:00;0;0;14,9;-4,2538;0;14,95;0
29.06. 04:00;0,004;0,00396;15,5;2,2832;0,0038116;15,54;0,04612
29.06. 05:00;0,025;0,024482;16,4;9,9436;0,023523;16,8;5,9575
29.06. 06:00;0,166;0,13172;17,8;18,378;0,1407;20,36;120,74
29.06. 07:00;0,325;0,19251;19,9;27,255;0,29275;25,37;261,4
29.06. 08:00;0,442;0,25462;20,5;36,225;0,43321;28,88;390,74
29.06. 09:00;0,651;0,20802;21,8;44,847;0,68911;35,16;617,43
29.06. 10:00;0,785;0,18972;23;52,464;0,86794;40,05;764,1
29.06. 11:00;0,802;0,26085;24,3;58,018;0,8944;42,05;781
29.06. 12:00;0,734;0,36187;24,4;60,135;0,7993;40,43;700,11
29.06. 13:00;0,606;0,41152;24,7;58,063;0,62954;37,39;554,65
29.06. 14:00;0,622;0,35662;24,9;52,538;0,65446;37,9;577,8
29.06. 15:00;0,561;0,30059;25,5;44,938;0,57895;37,04;512,9
29.06. 16:00;0,473;0,23385;24,7;36,322;0,4661;34,07;414,54
29.06. 17:00;0,346;0,18046;24,3;27,354;0,30935;30,55;272,05
29.06. 18:00;0,214;0,1254;23,6;18,474;0,15893;26,84;132,88
29.06. 19:00;0,069;0,060989;23,1;10,033;0,055807;24,34;38,165
29.06. 20:00;0,005;0,00495;21,3;2,362;0,0047645;21,54;0,08278
29.06. 21:00;0;0;20;-4,1893;0;20,08;0
29.06. 22:00;0;0;19,1;-9,2533;0;19,15;0
29.06. 23:00;0;0;18,1;-12,477;0;18,15;0
30.06. 00:00;0;0;17,5;-13,646;0;17,53;0
30.06. 01:00;0;0;17;-12,56;0;17,03;0
30.06. 02:00;0;0;16,1;-9,3624;0;16,15;0
30.06. 03:00;0;0;15,5;-4,3196;0;15,53;0
30.06. 04:00;0,011;0,01089;15,8;2,216;0,010482;15,98;0,88075
30.06. 05:00;0,097;0,065287;17,2;9,8758;0,049558;18,07;30,883
30.06. 06:00;0,239;0,10248;19,1;18,31;0,16063;21,92;135,52
30.06. 07:00;0,404;0,1155;21,5;27,187;0,35219;28,04;314,76
30.06. 08:00;0,56;0,13355;22,1;36,157;0,55744;32,85;502,44
30.06. 09:00;0,665;0,18952;23,5;44,78;0,70631;37,3;628,24
30.06. 10:00;0,73;0,25489;24,6;52,397;0,79757;40,34;700,87
30.06. 11:00;0,809;0,25133;25,1;57,955;0,90433;43,01;787,04
30.06. 12:00;0,841;0,24442;24,9;60,082;0,94794;43,8;822,65
30.06. 13:00;0,802;0,26093;25,5;58,025;0,89489;43,39;777,62
30.06. 14:00;0,75;0,23281;25,7;52,514;0,82379;42,19;719,21
30.06. 15:00;0,678;0,17663;25,6;44,922;0,72216;40,07;636,1
30.06. 16:00;0,549;0,14998;26,1;36,31;0,54675;37,06;485,21
30.06. 17:00;0,403;0,12042;24,5;27,342;0,3528;31,67;311,28
30.06. 18:00;0,253;0,09029;23,1;18,461;0,16511;26,48;136,89
30.06. 19:00;0,113;0,059193;21,3;10,016;0,036721;22,25;15,491
30.06. 20:00;0,016;0,01584;19,9;2,3396;0,015246;20,31;2,1241
30.06. 21:00;0;0;19,4;-4,2184;0;19,45;0
30.06. 22:00;0;0;18,8;-9,2901;0;18,83;0
30.06. 23:00;0;0;17,9;-12,522;0;17,95;0
01.07. 00:00;0;0;17,6;-13,705;0;17,62;0
01.07. 01:00;0;0;17,4;-12,625;0;17,41;0
01.07. 02:00;0;0;16,9;-9,4317;0;16,93;0
01.07. 03:00;0;0;16,7;-4,3912;0;16,71;0
01.07. 04:00;0,007;0,00693;17;2,1434;0,0066703;17,11;0,25134
01.07. 05:00;0,07;0,060808;18;9,803;0,055088;18,99;38,627
01.07. 06:00;0,208;0,12516;20,1;18,238;0,15521;22,87;131,47
01.07. 07:00;0,389;0,13202;22,2;27,115;0,3406;28,54;303,36
01.07. 08:00;0,532;0,16566;24;36,084;0,52844;34,14;473,27
01.07. 09:00;0,596;0,26699;25,2;44,707;0,62248;37,39;552,21
01.07. 10:00;0,614;0,35884;24,8;52,324;0,6448;37,62;569,64
01.07. 11:00;0,666;0,38668;25;57,886;0,70895;39,04;623,05
01.07. 12:00;0,678;0,3998;25,8;60,023;0,72306;40,15;632,65
01.07. 13:00;0,73;0,33932;26,8;57,98;0,79637;42,55;692,81
01.07. 14:00;0,791;0,18312;26,5;52,483;0,87665;43,91;761,03
01.07. 15:00;0,713;0,13797;26,7;44,9;0,76356;41,98;667,91
01.07. 16:00;0,572;0,123;25,6;36,292;0,57117;37,14;507,19
01.07. 17:00;0,415;0,10545;24,6;27,325;0,36256;31,94;319,97
01.07. 18:00;0,259;0,08264;23,2;18,442;0,16632;26,6;137,63
01.07. 19:00;0,116;0,056338;21,8;9,9927;0,032786;22,66;12,011
01.07. 20:00;0,015;0,01485;20,4;2,3111;0,014293;20,78;1,8118
01.07. 21:00;0;0;19,8;-4,254;0;19,85;0
01.07. 22:00;0;0;18,9;-9,3336;0;18,95;0
01.07. 23:00;0;0;18,2;-12,574;0;18,24;0
02.07. 00:00;0;0;18,2;-13,771;0;18,2;0
02.07. 01:00;0;0;17,7;-12,697;0;17,73;0
02.07. 02:00;0;0;17,3;-9,5072;0;17,32;0
02.07. 03:00;0;0;17,9;-4,4686;0;17,87;0
02.07. 04:00;0,011;0,01089;18,1;2,0654;0,010482;18,29;0,85664
02.07. 05:00;0,092;0,064754;19,3;9,7252;0,050845;20,2;32,143
02.07. 06:00;0,222;0,11503;20,8;18,16;0,15691;23,6;131,95
02.07. 07:00;0,363;0,15931;23;27,038;0,32097;28,98;284,53
02.07. 08:00;0,505;0,19588;23,7;36,007;0,50023;33,35;448,04
02.07. 09:00;0,639;0,21808;25,7;44,629;0,67572;38,83;597,42
02.07. 10:00;0,772;0,20129;26,3;52,246;0,85302;43,08;742,61
02.07. 11:00;0,823;0,23196;26,8;57,811;0,92424;45,15;798,32
02.07. 12:00;0,777;0,31782;26,6;59,957;0,86084;43,85;745,7
02.07. 13:00;0,771;0,29596;27,8;57,929;0,8536;44,79;737,27
02.07. 14:00;0,773;0,20358;27,3;52,446;0,85455;44,36;740,44
02.07. 15:00;0,677;0,17682;27,2;44,871;0,72208;41,7;632,31
02.07. 16:00;0,562;0,13362;26,4;36,268;0,56133;37,7;497,33
02.07. 17:00;0,402;0,12067;25,2;27,302;0,35276;32,36;310,47
02.07. 18:00;0,246;0,09729;23,8;18,417;0,16419;27,17;136
02.07. 19:00;0,107;0,062367;22,1;9,9638;0,042252;23,15;20,96
02.07. 20:00;0,013;0,01287;20,5;2,2763;0,012388;20,87;1,2713
02.07. 21:00;0;0;20,2;-4,296;0;20,23;0
02.07. 22:00;0;0;19,4;-9,3838;0;19,44;0
02.07. 23:00;0;0;19,5;-12,632;0;19,5;0
03.07. 00:00;0;0;19,2;-13,844;0;19,22;0
03.07. 01:00;0;0;19;-12,775;0;19,01;0
03.07. 02:00;0;0;18,8;-9,5889;0;18,81;0
03.07. 03:00;0;0;18,3;-4,5518;0;18,33;0
03.07. 04:00;0,018;0,01782;19,3;1,9821;0,017152;19,57;2,8196
03.07. 05:00;0,105;0,058932;20,7;9,6424;0,038712;21,37;17,524
03.07. 06:00;0,223;0,11277;19,9;18,078;0,15622;22,79;131,57
03.07. 07:00;0,365;0,15556;20,5;26,956;0,32234;26,59;288,29
03.07. 08:00;0,523;0,17304;21,7;35,925;0,51951;31,69;469,05
03.07. 09:00;0,68;0,16684;25,8;44,546;0,7255;39,79;639,73
03.07. 10:00;0,756;0,21924;27,7;52,163;0,83314;44,08;722,49
03.07. 11:00;0,632;0,40136;28,7;57,729;0,66454;42,04;576,77
03.07. 12:00;0,528;0,42004;28,6;59,884;0,53293;39,33;462,88
03.07. 13:00;0,543;0,41411;29;57,871;0,55213;39,94;479,8
03.07. 14:00;0,5;0,38329;30;52,402;0,50417;40,01;436,72
03.07. 15:00;0,352;0,30835;30,3;44,837;0,34266;37,24;294,19
03.07. 16:00;0,275;0,24518;29,4;36,238;0,264;34,76;225,92
03.07. 17:00;0,133;0,12914;29,2;27,273;0,12646;31,86;104,07
03.07. 18:00;0,04;0,039034;26,2;18,386;0,037886;27,2;15,965
03.07. 19:00;0,037;0,036213;23,1;9,9289;0,034758;23,96;13,538
03.07. 20:00;0,002;0,00198;21,7;2,2354;0,0019058;21,85;0
03.07. 21:00;0;0;21,6;-4,3445;0;21,61;0
03.07. 22:00;0;0;21,1;-9,4407;0;21,13;0
03.07. 23:00;0;0;20,9;-12,697;0;20,91;0
04.07. 00:00;0;0;20,2;-13,923;0;20,24;0
04.07. 01:00;0;0;19,3;-12,86;0;19,35;0
04.07. 02:00;0;0;18,8;-9,6766;0;18,83;0
04.07. 03:00;0;0;18,7;-4,6406;0;18,71;0
04.07. 04:00;0,019;0,01881;18,3;1,8935;0,018105;18,66;3,2203
04.07. 05:00;0,1;0,060513;17,7;9,5547;0,042255;18,54;21,707
04.07. 06:00;0,104;0,098449;17,9;17,992;0,096826;19,75;80,33
04.07. 07:00;0,136;0,13163;18,1;26,87;0,12924;20,61;111,06
04.07. 08:00;0,255;0,23235;19,5;35,839;0,24434;24,15;216,39
04.07. 09:00;0,221;0,21424;20,1;44,459;0,21133;24,28;185,31
04.07. 10:00;0,185;0,18148;20,9;52,074;0,17663;24,39;152,88
04.07. 11:00;0,398;0,35994;22,4;57,642;0,38845;29,81;343,67
04.07. 12:00;0,681;0,3962;23,7;59,804;0,72848;37,79;642,95
04.07. 13:00;0,716;0,34981;23,6;57,806;0,77864;39,06;685,7
04.07. 14:00;0,609;0,36185;23,5;52,352;0,6394;36,36;567,23
04.07. 15:00;0,451;0,33584;24;44,797;0,45041;33,11;398,99
04.07. 16:00;0,456;0,2452;23,7;36,203;0,44971;32,62;401,17
04.07. 17:00;0,392;0,13135;22,8;27,239;0,34575;29,7;306,99
04.07. 18:00;0,264;0,074333;21,7;18,349;0,16765;25,08;139,34
04.07. 19:00;0,121;0,049394;20,1;9,888;0,024725;20,82;6,4686
04.07. 20:00;0,016;0,01584;17,6;2,1882;0,015246;18,05;2,1651
04.07. 21:00;0;0;15,7;-4,3994;0;15,82;0
04.07. 22:00;0;0;15,3;-9,5042;0;15,33;0
04.07. 23:00;0;0;14,5;-12,769;0;14,54;0
05.07. 00:00;0;0;13,5;-14,009;0;13,55;0
05.07. 01:00;0;0;12,9;-12,951;0;12,93;0
05.07. 02:00;0;0;12,5;-9,7705;0;12,52;0
05.07. 03:00;0;0;12,3;-4,7351;0;12,31;0
05.07. 04:00;0,019;0,01881;12,6;1,7998;0,018105;12,93;3,366
05.07. 05:00;0,11;0,052069;13,6;9,4622;0,029644;14,12;10,235
05.07. 06:00;0,253;0,077002;15,6;17,9;0,15822;18,32;133,79
05.07. 07:00;0,406;0,10348;18,3;26,779;0,35334;24,83;319,37
05.07. 08:00;0,553;0,13289;20,2;35,748;0,55166;30,78;500,8
05.07. 09:00;0,68;0,16337;21,9;44,367;0,72667;36,06;649,33
05.07. 10:00;0,757;0,21482;23,3;51,98;0,83585;39,77;736,32
05.07. 11:00;0,76;0,30273;24,1;57,548;0,84053;40,82;736,4
05.07. 12:00;0,785;0,30582;25,2;59,717;0,87411;42,56;761,09
05.07. 13:00;0,776;0,28742;25,4;57,735;0,86258;42,61;751,18
05.07. 14:00;0,69;0,29784;25,6;52,295;0,74734;40,6;655,65
05.07. 15:00;0,581;0,28176;25,1;44,75;0,60604;37,31;537,29
05.07. 16:00;0,448;0,25003;25,4;36,162;0,44157;34,29;391,04
05.07. 17:00;0,337;0,18439;24,1;27,198;0,30374;30,27;267,11
05.07. 18:00;0,235;0,10644;23,1;18,307;0,16238;26,38;135,21
05.07. 19:00;0,09;0,065876;21,9;9,8411;0,05324;23,13;34,763
05.07. 20:00;0,004;0,00396;20,7;2,1349;0,0038116;20,89;0,040878
05.07. 21:00;0;0;19,8;-4,4607;0;19,86;0
05.07. 22:00;0;0;19,4;-9,5743;0;19,42;0
05.07. 23:00;0;0;18,2;-12,848;0;18,26;0
06.07. 00:00;0;0;19,4;-14,102;0;19,34;0
06.07. 01:00;0;0;18,2;-13,048;0;18,26;0
06.07. 02:00;0;0;18,7;-9,8703;0;18,68;0
06.07. 03:00;0;0;18,4;-4,8351;0;18,41;0
06.07. 04:00;0,001;0,00099;18;1,7009;0,0009529;18,04;0
06.07. 05:00;0,013;0,012635;17,8;9,365;0,012142;18,04;1,2484
06.07. 06:00;0,036;0,035094;17,7;17,804;0,034074;18,36;13,506
06.07. 07:00;0,226;0,19089;17,9;26,684;0,21107;21,88;187,15
06.07. 08:00;0,434;0,25126;19,5;35,653;0,42616;27,62;385,85
06.07. 09:00;0,611;0,24349;20,6;44,27;0,64356;33,09;580,21
06.07. 10:00;0,786;0,17884;22,2;51,881;0,87352;39,29;771,19
06.07. 11:00;0,759;0,30243;23,6;57,448;0,83994;40,31;737,25
06.07. 12:00;0,604;0,42188;23,7;59,624;0,62743;36,39;554,33
06.07. 13:00;0,73;0,33521;23,8;57,656;0,79944;39,57;703,04
06.07. 14:00;0,703;0,2831;24,2;52,232;0,76549;39,46;674,51
06.07. 15:00;0,444;0,33493;23,9;44,698;0,44295;33,03;392,11
06.07. 16:00;0,163;0,1591;21,9;36,114;0,15548;25,39;132,96
06.07. 17:00;0,062;0,060515;18,5;27,152;0,059;19,96;44,543
06.07. 18:00;0,076;0,074299;18,7;18,259;0,072;20,12;57,123
06.07. 19:00;0,014;0,013609;15,4;9,7883;0,013078;15,89;1,5276
06.07. 20:00;0,001;0,00099;16,7;2,0753;0,0009529;16,68;0
06.07. 21:00;0;0;16,2;-4,5285;0;16,22;0
06.07. 22:00;0;0;16,5;-9,6511;0;16,49;0
06.07. 23:00;0;0;13,4;-12,934;0;13,56;0
07.07. 00:00;0;0;13,2;-14,201;0;13,22;0
07.07. 01:00;0;0;13,1;-13,152;0;13,11;0
07.07. 02:00;0;0;12,8;-9,9762;0;12,82;0
07.07. 03:00;0;0;13,1;-4,9407;0;13,09;0
07.07. 04:00;0,018;0,01782;13,5;1,5969;0,017152;13,8;2,9489
07.07. 05:00;0,117;0,040541;14,4;9,263;0,01753;14,7;3,0811
07.07. 06:00;0,265;0,05825;15,2;17,704;0,15942;17,97;134,23
07.07. 07:00;0,387;0,122;16,3;26,585;0,33861;22,65;307,82
07.07. 08:00;0,459;0,23235;17,2;35,553;0,45296;25,97;414,21
07.07. 09:00;0,519;0,3158;18,5;44,168;0,531;28,88;482,71
07.07. 10:00;0,568;0,37319;19,6;51,776;0,58854;31,18;530,49
07.07. 11:00;0,553;0,41218;20,6;57,342;0,56558;31,81;506,68
07.07. 12:00;0,515;0,41582;22;59,525;0,51846;32,27;461,43
07.07. 13:00;0,297;0,28559;16,7;57,571;0,28519;22,85;254,81
07.07. 14:00;0,124;0,12115;16,1;52,163;0,11848;18,67;101,96
