Zeit;Einstrahlung auf die Horizontale (kWh/m²);Diffusstrahlung auf die Horizontale (kWh/m²);Außentemperatur (°C);Freifläche 01-Fläche Süd: Sonnenhöhe (rad);Freifläche 01-Fläche Süd: Einstrahlung auf die geneigte Fläche (kWh/m²);Freifläche 01-Fläche Süd: Modultemperatur (°C);Eingespeiste Energie kWh
09.01. 13:00;0,13;0,10161;7,4;13,693;0,18904;10,99;129,47
09.01. 14:00;0,071;0,064887;7;10,575;0,08252;8,75;51,444
09.01. 15:00;0,006;0,0058276;6,6;5,5789;0,0061104;6,82;0,19245
09.01. 16:00;0;0;6,5;-0,93423;0;6,52;0
09.01. 17:00;0;0;6,3;-8,5869;0;6,31;0
09.01. 18:00;0;0;6,2;-17,022;0;6,21;0
09.01. 19:00;0;0;6,1;-25,9;0;6,11;0
09.01. 20:00;0;0;5,9;-34,869;0;5,91;0
09.01. 21:00;0;0;5,7;-43,49;0;5,71;0
09.01. 22:00;0;0;4,8;-51,119;0;4,85;0
09.01. 23:00;0;0;4,7;-56,743;0;4,71;0
10.01. 00:00;0;0;5,2;-58,906;0;5,17;0
10.01. 01:00;0;0;5,4;-57,15;0;5,39;0
10.01. 02:00;0;0;5,6;-51,913;0;5,59;0
10.01. 03:00;0;0;5,3;-44,499;0;5,31;0
10.01. 04:00;0;0;5,3;-35,975;0;5,3;0
10.01. 05:00;0;0;5,1;-27,026;0;5,11;0
10.01. 06:00;0;0;5,4;-18,111;0;5,39;0
10.01. 07:00;0;0;5,4;-9,5916;0;5,4;0
10.01. 08:00;0;0;5,5;-1,805;0;5,5;0
10.01. 09:00;0,033;0,028953;5,6;4,8934;0,050666;6,54;10,254
10.01. 10:00;0,124;0,062552;6,1;10,126;0,289;11,52;18,293
10.01. 11:00;0,146;0,10001;6,1;13,526;0,24662;11,01;155,85
10.01. 12:00;0,069;0,067222;6,1;14,805;0,067915;7,63;54,833
10.01. 13:00;0,105;0,093201;6,9;13,845;0,12485;9,28;95,682
10.01. 14:00;0,091;0,075261;6,6;10,736;0,12849;9,14;54,116
10.01. 15:00;0,045;0,036988;6,2;5,7455;0,077669;7,8;16,975
10.01. 16:00;0,005;0,00495;6;-0,76562;0,0047645;6,18;0,11096
10.01. 17:00;0;0;5;-8,4181;0;5,06;0
10.01. 18:00;0;0;4,1;-16,853;0;4,15;0
10.01. 19:00;0;0;3,4;-25,732;0;3,44;0
10.01. 20:00;0;0;3,3;-34,701;0;3,31;0
10.01. 21:00;0;0;3,4;-43,322;0;3,4;0
10.01. 22:00;0;0;4;-50,951;0;3,97;0
10.01. 23:00;0;0;4,7;-56,582;0;4,66;0
11.01. 00:00;0;0;5,1;-58,757;0;5,08;0
11.01. 01:00;0;0;5,4;-57,033;0;5,38;0
11.01. 02:00;0;0;5,7;-51,827;0;5,68;0
11.01. 03:00;0;0;5,8;-44,434;0;5,79;0
11.01. 04:00;0;0;5,8;-35,92;0;5,8;0
11.01. 05:00;0;0;6;-26,974;0;5,99;0
11.01. 06:00;0;0;6,2;-18,056;0;6,19;0
11.01. 07:00;0;0;6,4;-9,528;0;6,39;0
11.01. 08:00;0;0;6,5;-1,729;0;6,49;0
11.01. 09:00;0,007;0,006805;6,9;4,9854;0,0071569;7,01;0,30595
11.01. 10:00;0,019;0,018502;7,8;10,236;0,018792;8,11;3,4836
11.01. 11:00;0,03;0,029267;8,9;13,654;0,029389;9,41;10,057
11.01. 12:00;0,028;0,027254;9,2;14,951;0,027478;9,73;8,6079
11.01. 13:00;0,023;0,022361;9,4;14,004;0,022638;9,84;5,5389
11.01. 14:00;0,015;0,014572;9,9;10,904;0,014869;9,9;1,9811
11.01. 15:00;0,01;0,0097362;10,7;5,9179;0,010089;10,85;0,73767
11.01. 16:00;0;0;10,5;-0,59176;0;10,52;0
11.01. 17:00;0;0;9,7;-8,2445;0;9,74;0
11.01. 18:00;0;0;7,6;-16,681;0;7,71;0
11.01. 19:00;0;0;6,7;-25,56;0;6,75;0
11.01. 20:00;0;0;6,8;-34,528;0;6,8;0
11.01. 21:00;0;0;6,3;-43,148;0;6,33;0
