month,day,hour,price,consumption,prediction,month_sin,month_cos,day_sin,day_cos,hour_sin,hour_cos,date
10,19,6,0.102585,55481.125,55126.5625,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,2020-10-19 06:00:00
10,19,7,0.1368225,60834.625,60215.8125,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,0.9659258262890683,-0.25881904510252063,2020-10-19 07:00:00
10,19,8,0.14667249999999998,63393.75,62822.3125,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,0.8660254037844387,-0.49999999999999983,2020-10-19 08:00:00
10,19,9,0.13498749999999998,64515.75,64115.1875,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,0.7071067811865476,-0.7071067811865475,2020-10-19 09:00:00
10,19,10,0.12265,65449.875,65351.625,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,0.5000000000000003,-0.8660254037844385,2020-10-19 10:00:00
10,19,11,0.1150775,66499.0625,66585.9375,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,0.258819045102521,-0.9659258262890682,2020-10-19 11:00:00
10,19,12,0.10823499999999997,65961.0625,66375.25,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,1.2246467991473532e-16,-1.0,2020-10-19 12:00:00
10,19,13,0.1036125,64596.25,65346.5,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,-0.25881904510252035,-0.9659258262890684,2020-10-19 13:00:00
10,19,14,0.09967499999999997,63059.9375,64089.9375,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,-0.4999999999999998,-0.8660254037844388,2020-10-19 14:00:00
10,19,15,0.09971999999999998,61860.4375,62838.0,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,-0.7071067811865471,-0.7071067811865479,2020-10-19 15:00:00
10,19,16,0.1048975,60954.625,61459.75,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,-0.8660254037844384,-0.5000000000000004,2020-10-19 16:00:00
10,19,17,0.1173775,62023.875,61317.1875,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,-0.9659258262890681,-0.2588190451025215,2020-10-19 17:00:00
10,19,18,0.13066999999999998,64488.5,62583.6875,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,-1.0,-1.8369701987210297e-16,2020-10-19 18:00:00
10,19,19,0.12388999999999997,64964.375,63225.0625,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,-0.9659258262890684,0.2588190451025203,2020-10-19 19:00:00
10,19,20,0.09632749999999998,61413.3125,60405.5625,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,-0.866025403784439,0.49999999999999933,2020-10-19 20:00:00
10,19,21,0.078695,57930.8125,57116.625,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,-0.7071067811865477,0.7071067811865474,2020-10-19 21:00:00
10,19,22,0.07189999999999999,54629.375,54368.125,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,-0.5000000000000004,0.8660254037844384,2020-10-19 22:00:00
10,19,23,0.061575,51038.4375,50705.5625,-0.866025403784439,0.49999999999999933,-0.651372482722222,-0.7587581226927911,-0.25881904510252157,0.9659258262890681,2020-10-19 23:00:00
10,20,0,0.0509825,47880.9375,47360.3125,-0.866025403784439,0.49999999999999933,-0.7907757369376986,-0.6121059825476627,0.0,1.0,2020-10-20 00:00:00
